"ID","Gemeinde_fr","Tabelle_fr","Staerkste_Partei"
22,"Benken (ZH)","tab_h_fr$tr£$td£UDC$/td£tab_r174tab_r2#547d34tab_r3$td£$b£49.1%$/b£$/td£§+2.5$/td£$/tr£$tr£$td£PS$/td£tab_r118tab_r2#ea546ftab_r3$td£$b£12.2%$/b£$/td£§+1.8$/td£$/tr£$tr£$td£PLR$/td£tab_r114tab_r2#6268AFtab_r3$td£$b£9.3%$/b£$/td£§-0.5$/td£$/tr£$tr£$td£PVL$/td£tab_r113tab_r2#cbd401tab_r3$td£$b£8.6%$/b£$/td£§-0.7$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r112tab_r2#26b300tab_r3$td£$b£7.7%$/b£$/td£§-4.4$/td£$/tr£$tr£$td£Centre$/td£tab_r110tab_r2#f39f5etab_r3$td£$b£6.8%$/b£$/td£§-0.2$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£302$/b£$br£Taux de participation: $b£51.3%$/b£ (+4.1%)","SVP"
23,"Berg am Irchel (ZH)","tab_h_fr$tr£$td£UDC$/td£tab_r181tab_r2#547d34tab_r3$td£$b£54.2%$/b£$/td£§+1.4$/td£$/tr£$tr£$td£PLR$/td£tab_r115tab_r2#6268AFtab_r3$td£$b£10.2%$/b£$/td£§+2.9$/td£$/tr£$tr£$td£PVL$/td£tab_r114tab_r2#cbd401tab_r3$td£$b£9.6%$/b£$/td£§-5.5$/td£$/tr£$tr£$td£PS$/td£tab_r114tab_r2#ea546ftab_r3$td£$b£9.3%$/b£$/td£§+3.1$/td£$/tr£$tr£$td£Centre$/td£tab_r19tab_r2#f39f5etab_r3$td£$b£6.0%$/b£$/td£§+1.4$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r16tab_r2#26b300tab_r3$td£$b£4.0%$/b£$/td£§-4.1$/td£$/tr£$tr£$td£Divers$/td£tab_r15tab_r2#bebebetab_r3$td£$b£3.6%$/b£$/td£§+3.3$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£262$/b£$br£Taux de participation: $b£60.5%$/b£ (+3.9%)","SVP"
24,"Buch am Irchel (ZH)","Résultats non encore disponibles.","no_data"
25,"Dachsen (ZH)","Résultats non encore disponibles.","no_data"
26,"Dorf (ZH)","tab_h_fr$tr£$td£UDC$/td£tab_r168tab_r2#547d34tab_r3$td£$b£45.6%$/b£$/td£§-3.2$/td£$/tr£$tr£$td£PLR$/td£tab_r116tab_r2#6268AFtab_r3$td£$b£10.7%$/b£$/td£§+1.0$/td£$/tr£$tr£$td£PS$/td£tab_r115tab_r2#ea546ftab_r3$td£$b£10.3%$/b£$/td£§+0.5$/td£$/tr£$tr£$td£PVL$/td£tab_r111tab_r2#cbd401tab_r3$td£$b£7.4%$/b£$/td£§-3.8$/td£$/tr£$tr£$td£UDF$/td£tab_r111tab_r2#3aa59atab_r3$td£$b£7.3%$/b£$/td£§-1.1$/td£$/tr£$tr£$td£Centre$/td£tab_r110tab_r2#f39f5etab_r3$td£$b£6.6%$/b£$/td£§+3.8$/td£$/tr£$tr£$td£Divers$/td£tab_r16tab_r2#bebebetab_r3$td£$b£4.1%$/b£$/td£§+3.4$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r16tab_r2#26b300tab_r3$td£$b£4.0%$/b£$/td£§+0.1$/td£$/tr£$tr£$td£PEV$/td£tab_r15tab_r2#87bfdctab_r3$td£$b£3.1%$/b£$/td£§-1.3$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£275$/b£$br£Taux de participation: $b£52.7%$/b£ (+4.6%)","SVP"
27,"Feuerthalen (ZH)","Résultats non encore disponibles.","no_data"
28,"Flaach (ZH)","Résultats non encore disponibles.","no_data"
29,"Flurlingen (ZH)","Résultats non encore disponibles.","no_data"
31,"Henggart (ZH)","Résultats non encore disponibles.","no_data"
33,"Kleinandelfingen (ZH)","Résultats non encore disponibles.","no_data"
34,"Laufen-Uhwiesen (ZH)","Résultats non encore disponibles.","no_data"
35,"Marthalen (ZH)","Résultats non encore disponibles.","no_data"
37,"Ossingen (ZH)","Résultats non encore disponibles.","no_data"
38,"Rheinau (ZH)","Résultats non encore disponibles.","no_data"
39,"Thalheim an der Thur (ZH)","Résultats non encore disponibles.","no_data"
40,"Trüllikon (ZH)","Résultats non encore disponibles.","no_data"
41,"Truttikon (ZH)","tab_h_fr$tr£$td£UDC$/td£tab_r166tab_r2#547d34tab_r3$td£$b£44.1%$/b£$/td£§+1.6$/td£$/tr£$tr£$td£PS$/td£tab_r120tab_r2#ea546ftab_r3$td£$b£13.5%$/b£$/td£§+0.0$/td£$/tr£$tr£$td£PLR$/td£tab_r111tab_r2#6268AFtab_r3$td£$b£7.5%$/b£$/td£§-1.9$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r110tab_r2#26b300tab_r3$td£$b£6.9%$/b£$/td£§-3.1$/td£$/tr£$tr£$td£PVL$/td£tab_r110tab_r2#cbd401tab_r3$td£$b£6.9%$/b£$/td£§+2.3$/td£$/tr£$tr£$td£Centre$/td£tab_r19tab_r2#f39f5etab_r3$td£$b£5.7%$/b£$/td£§+2.6$/td£$/tr£$tr£$td£UDF$/td£tab_r18tab_r2#3aa59atab_r3$td£$b£5.1%$/b£$/td£§-3.4$/td£$/tr£$tr£$td£Divers$/td£tab_r18tab_r2#bebebetab_r3$td£$b£5.1%$/b£$/td£§+3.0$/td£$/tr£$tr£$td£PEV$/td£tab_r15tab_r2#87bfdctab_r3$td£$b£3.6%$/b£$/td£§-2.0$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£219$/b£$br£Taux de participation: $b£62.0%$/b£ (+3.4%)","SVP"
43,"Volken (ZH)","Résultats non encore disponibles.","no_data"
51,"Bachenbülach (ZH)","Résultats non encore disponibles.","no_data"
52,"Bassersdorf (ZH)","Résultats non encore disponibles.","no_data"
53,"Bülach (ZH)","Résultats non encore disponibles.","no_data"
54,"Dietlikon (ZH)","Résultats non encore disponibles.","no_data"
55,"Eglisau (ZH)","Résultats non encore disponibles.","no_data"
56,"Embrach (ZH)","Résultats non encore disponibles.","no_data"
57,"Freienstein-Teufen (ZH)","Résultats non encore disponibles.","no_data"
58,"Glattfelden (ZH)","Résultats non encore disponibles.","no_data"
59,"Hochfelden (ZH)","tab_h_fr$tr£$td£UDC$/td£tab_r170tab_r2#547d34tab_r3$td£$b£46.6%$/b£$/td£§+2.5$/td£$/tr£$tr£$td£PS$/td£tab_r118tab_r2#ea546ftab_r3$td£$b£12.3%$/b£$/td£§+0.0$/td£$/tr£$tr£$td£PVL$/td£tab_r114tab_r2#cbd401tab_r3$td£$b£9.2%$/b£$/td£§-1.2$/td£$/tr£$tr£$td£PLR$/td£tab_r19tab_r2#6268AFtab_r3$td£$b£6.1%$/b£$/td£§-2.0$/td£$/tr£$tr£$td£PEV$/td£tab_r18tab_r2#87bfdctab_r3$td£$b£5.6%$/b£$/td£§+0.6$/td£$/tr£$tr£$td£Centre$/td£tab_r18tab_r2#f39f5etab_r3$td£$b£5.6%$/b£$/td£§+0.2$/td£$/tr£$tr£$td£UDF$/td£tab_r18tab_r2#3aa59atab_r3$td£$b£5.4%$/b£$/td£§-0.8$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r18tab_r2#26b300tab_r3$td£$b£5.3%$/b£$/td£§-1.7$/td£$/tr£$tr£$td£Divers$/td£tab_r15tab_r2#bebebetab_r3$td£$b£3.4%$/b£$/td£§+2.6$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£621$/b£$br£Taux de participation: $b£47.3%$/b£ (+2.0%)","SVP"
60,"Höri (ZH)","Résultats non encore disponibles.","no_data"
61,"Hüntwangen (ZH)","Résultats non encore disponibles.","no_data"
62,"Kloten (ZH)","Résultats non encore disponibles.","no_data"
63,"Lufingen (ZH)","Résultats non encore disponibles.","no_data"
64,"Nürensdorf (ZH)","Résultats non encore disponibles.","no_data"
65,"Oberembrach (ZH)","tab_h_fr$tr£$td£UDC$/td£tab_r178tab_r2#547d34tab_r3$td£$b£51.8%$/b£$/td£§+0.5$/td£$/tr£$tr£$td£PS$/td£tab_r118tab_r2#ea546ftab_r3$td£$b£12.2%$/b£$/td£§+2.0$/td£$/tr£$tr£$td£PLR$/td£tab_r110tab_r2#6268AFtab_r3$td£$b£7.0%$/b£$/td£§-2.1$/td£$/tr£$tr£$td£Centre$/td£tab_r110tab_r2#f39f5etab_r3$td£$b£6.8%$/b£$/td£§+1.8$/td£$/tr£$tr£$td£PVL$/td£tab_r110tab_r2#cbd401tab_r3$td£$b£6.7%$/b£$/td£§-0.5$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r18tab_r2#26b300tab_r3$td£$b£5.0%$/b£$/td£§-3.7$/td£$/tr£$tr£$td£UDF$/td£tab_r17tab_r2#3aa59atab_r3$td£$b£4.7%$/b£$/td£§-0.8$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£414$/b£$br£Taux de participation: $b£51.9%$/b£ (-1.3%)","SVP"
66,"Opfikon (ZH)","Résultats non encore disponibles.","no_data"
67,"Rafz (ZH)","Résultats non encore disponibles.","no_data"
68,"Rorbas (ZH)","Résultats non encore disponibles.","no_data"
69,"Wallisellen (ZH)","Résultats non encore disponibles.","no_data"
70,"Wasterkingen (ZH)","tab_h_fr$tr£$td£UDC$/td£tab_r168tab_r2#547d34tab_r3$td£$b£45.0%$/b£$/td£§-1.7$/td£$/tr£$tr£$td£PVL$/td£tab_r122tab_r2#cbd401tab_r3$td£$b£14.6%$/b£$/td£§+2.8$/td£$/tr£$tr£$td£PS$/td£tab_r122tab_r2#ea546ftab_r3$td£$b£14.4%$/b£$/td£§+3.7$/td£$/tr£$tr£$td£Centre$/td£tab_r113tab_r2#f39f5etab_r3$td£$b£8.6%$/b£$/td£§+4.2$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r19tab_r2#26b300tab_r3$td£$b£6.3%$/b£$/td£§-4.3$/td£$/tr£$tr£$td£PLR$/td£tab_r16tab_r2#6268AFtab_r3$td£$b£3.9%$/b£$/td£§-6.5$/td£$/tr£$tr£$td£Divers$/td£tab_r15tab_r2#bebebetab_r3$td£$b£3.6%$/b£$/td£§+3.0$/td£$/tr£$tr£$td£PEV$/td£tab_r15tab_r2#87bfdctab_r3$td£$b£3.1%$/b£$/td£§+0.6$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£204$/b£$br£Taux de participation: $b£48.9%$/b£ (-0.6%)","SVP"
71,"Wil (ZH)","Résultats non encore disponibles.","no_data"
72,"Winkel (ZH)","Résultats non encore disponibles.","no_data"
81,"Bachs (ZH)","tab_h_fr$tr£$td£UDC$/td£tab_r180tab_r2#547d34tab_r3$td£$b£53.5%$/b£$/td£§-1.1$/td£$/tr£$tr£$td£PS$/td£tab_r119tab_r2#ea546ftab_r3$td£$b£12.6%$/b£$/td£§+3.4$/td£$/tr£$tr£$td£PVL$/td£tab_r115tab_r2#cbd401tab_r3$td£$b£9.9%$/b£$/td£§+2.2$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r111tab_r2#26b300tab_r3$td£$b£7.3%$/b£$/td£§-7.2$/td£$/tr£$tr£$td£Centre$/td£tab_r16tab_r2#f39f5etab_r3$td£$b£4.2%$/b£$/td£§+1.5$/td£$/tr£$tr£$td£PLR$/td£tab_r16tab_r2#6268AFtab_r3$td£$b£4.0%$/b£$/td£§+0.3$/td£$/tr£$tr£$td£PEV$/td£tab_r16tab_r2#87bfdctab_r3$td£$b£3.9%$/b£$/td£§+2.5$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£267$/b£$br£Taux de participation: $b£57.9%$/b£ (+1.5%)","SVP"
82,"Boppelsen (ZH)","tab_h_fr$tr£$td£UDC$/td£tab_r160tab_r2#547d34tab_r3$td£$b£39.7%$/b£$/td£§+1.6$/td£$/tr£$tr£$td£PLR$/td£tab_r121tab_r2#6268AFtab_r3$td£$b£14.1%$/b£$/td£§+0.1$/td£$/tr£$tr£$td£PVL$/td£tab_r116tab_r2#cbd401tab_r3$td£$b£10.9%$/b£$/td£§-4.1$/td£$/tr£$tr£$td£PS$/td£tab_r115tab_r2#ea546ftab_r3$td£$b£10.2%$/b£$/td£§+1.5$/td£$/tr£$tr£$td£Centre$/td£tab_r112tab_r2#f39f5etab_r3$td£$b£8.3%$/b£$/td£§+4.8$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r19tab_r2#26b300tab_r3$td£$b£6.2%$/b£$/td£§-4.0$/td£$/tr£$tr£$td£PEV$/td£tab_r16tab_r2#87bfdctab_r3$td£$b£4.2%$/b£$/td£§-2.1$/td£$/tr£$tr£$td£Divers$/td£tab_r16tab_r2#bebebetab_r3$td£$b£3.9%$/b£$/td£§+3.4$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£573$/b£$br£Taux de participation: $b£56.9%$/b£ (+3.0%)","SVP"
83,"Buchs (ZH)","tab_h_fr$tr£$td£UDC$/td£tab_r168tab_r2#547d34tab_r3$td£$b£45.3%$/b£$/td£§+2.2$/td£$/tr£$tr£$td£PS$/td£tab_r120tab_r2#ea546ftab_r3$td£$b£13.3%$/b£$/td£§+1.2$/td£$/tr£$tr£$td£PVL$/td£tab_r117tab_r2#cbd401tab_r3$td£$b£11.2%$/b£$/td£§-0.9$/td£$/tr£$tr£$td£PLR$/td£tab_r116tab_r2#6268AFtab_r3$td£$b£10.4%$/b£$/td£§-1.1$/td£$/tr£$tr£$td£Centre$/td£tab_r111tab_r2#f39f5etab_r3$td£$b£7.6%$/b£$/td£§+1.7$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r16tab_r2#26b300tab_r3$td£$b£3.8%$/b£$/td£§-4.3$/td£$/tr£$tr£$td£Divers$/td£tab_r15tab_r2#bebebetab_r3$td£$b£3.4%$/b£$/td£§+2.6$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£1'501$/b£$br£Taux de participation: $b£38.7%$/b£ (+5.0%)","SVP"
84,"Dällikon (ZH)","tab_h_fr$tr£$td£UDC$/td£tab_r174tab_r2#547d34tab_r3$td£$b£49.1%$/b£$/td£§+2.1$/td£$/tr£$tr£$td£PLR$/td£tab_r117tab_r2#6268AFtab_r3$td£$b£11.3%$/b£$/td£§+1.4$/td£$/tr£$tr£$td£PS$/td£tab_r116tab_r2#ea546ftab_r3$td£$b£10.5%$/b£$/td£§-0.1$/td£$/tr£$tr£$td£Centre$/td£tab_r113tab_r2#f39f5etab_r3$td£$b£8.6%$/b£$/td£§+2.3$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r19tab_r2#26b300tab_r3$td£$b£6.2%$/b£$/td£§-2.1$/td£$/tr£$tr£$td£PVL$/td£tab_r19tab_r2#cbd401tab_r3$td£$b£6.2%$/b£$/td£§-6.1$/td£$/tr£$tr£$td£Divers$/td£tab_r16tab_r2#bebebetab_r3$td£$b£3.9%$/b£$/td£§+3.0$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£898$/b£$br£Taux de participation: $b£37.9%$/b£ (+2.9%)","SVP"
85,"Dänikon (ZH)","Résultats non encore disponibles.","no_data"
86,"Dielsdorf (ZH)","Résultats non encore disponibles.","no_data"
87,"Hüttikon (ZH)","tab_h_fr$tr£$td£UDC$/td£tab_r174tab_r2#547d34tab_r3$td£$b£49.2%$/b£$/td£§-3.1$/td£$/tr£$tr£$td£PVL$/td£tab_r118tab_r2#cbd401tab_r3$td£$b£12.3%$/b£$/td£§+0.2$/td£$/tr£$tr£$td£Centre$/td£tab_r118tab_r2#f39f5etab_r3$td£$b£12.0%$/b£$/td£§+5.7$/td£$/tr£$tr£$td£PS$/td£tab_r113tab_r2#ea546ftab_r3$td£$b£8.5%$/b£$/td£§+1.5$/td£$/tr£$tr£$td£PLR$/td£tab_r110tab_r2#6268AFtab_r3$td£$b£6.8%$/b£$/td£§-6.2$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r17tab_r2#26b300tab_r3$td£$b£4.6%$/b£$/td£§-1.9$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£312$/b£$br£Taux de participation: $b£52.5%$/b£ (+8.5%)","SVP"
88,"Neerach (ZH)","Résultats non encore disponibles.","no_data"
89,"Niederglatt (ZH)","Résultats non encore disponibles.","no_data"
90,"Niederhasli (ZH)","Résultats non encore disponibles.","no_data"
91,"Niederweningen (ZH)","Résultats non encore disponibles.","no_data"
92,"Oberglatt (ZH)","Résultats non encore disponibles.","no_data"
93,"Oberweningen (ZH)","Résultats non encore disponibles.","no_data"
94,"Otelfingen (ZH)","Résultats non encore disponibles.","no_data"
95,"Regensberg (ZH)","Résultats non encore disponibles.","no_data"
96,"Regensdorf (ZH)","Résultats non encore disponibles.","no_data"
97,"Rümlang (ZH)","Résultats non encore disponibles.","no_data"
98,"Schleinikon (ZH)","tab_h_fr$tr£$td£UDC$/td£tab_r172tab_r2#547d34tab_r3$td£$b£48.2%$/b£$/td£§+4.6$/td£$/tr£$tr£$td£PS$/td£tab_r118tab_r2#ea546ftab_r3$td£$b£12.2%$/b£$/td£§+2.4$/td£$/tr£$tr£$td£PVL$/td£tab_r117tab_r2#cbd401tab_r3$td£$b£11.2%$/b£$/td£§+0.5$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r116tab_r2#26b300tab_r3$td£$b£10.4%$/b£$/td£§-3.3$/td£$/tr£$tr£$td£Centre$/td£tab_r18tab_r2#f39f5etab_r3$td£$b£5.0%$/b£$/td£§+1.8$/td£$/tr£$tr£$td£PLR$/td£tab_r17tab_r2#6268AFtab_r3$td£$b£4.6%$/b£$/td£§-4.0$/td£$/tr£$tr£$td£PEV$/td£tab_r16tab_r2#87bfdctab_r3$td£$b£3.7%$/b£$/td£§-0.3$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£282$/b£$br£Taux de participation: $b£45.6%$/b£ (-1.6%)","SVP"
99,"Schöfflisdorf (ZH)","Résultats non encore disponibles.","no_data"
100,"Stadel (ZH)","tab_h_fr$tr£$td£UDC$/td£tab_r182tab_r2#547d34tab_r3$td£$b£54.4%$/b£$/td£§+2.3$/td£$/tr£$tr£$td£PS$/td£tab_r114tab_r2#ea546ftab_r3$td£$b£9.2%$/b£$/td£§+2.6$/td£$/tr£$tr£$td£PLR$/td£tab_r112tab_r2#6268AFtab_r3$td£$b£8.1%$/b£$/td£§-2.3$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r111tab_r2#26b300tab_r3$td£$b£7.5%$/b£$/td£§-2.7$/td£$/tr£$tr£$td£Centre$/td£tab_r111tab_r2#f39f5etab_r3$td£$b£7.2%$/b£$/td£§+1.6$/td£$/tr£$tr£$td£PVL$/td£tab_r110tab_r2#cbd401tab_r3$td£$b£6.4%$/b£$/td£§-1.9$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£716$/b£$br£Taux de participation: $b£44.6%$/b£ (+1.7%)","SVP"
101,"Steinmaur (ZH)","Résultats non encore disponibles.","no_data"
102,"Weiach (ZH)","Résultats non encore disponibles.","no_data"
111,"Bäretswil (ZH)","Résultats non encore disponibles.","no_data"
112,"Bubikon (ZH)","Résultats non encore disponibles.","no_data"
113,"Dürnten (ZH)","Résultats non encore disponibles.","no_data"
114,"Fischenthal (ZH)","Résultats non encore disponibles.","no_data"
115,"Gossau (ZH)","Résultats non encore disponibles.","no_data"
116,"Grüningen (ZH)","Résultats non encore disponibles.","no_data"
117,"Hinwil (ZH)","Résultats non encore disponibles.","no_data"
118,"Rüti (ZH)","Résultats non encore disponibles.","no_data"
119,"Seegräben (ZH)","Résultats non encore disponibles.","no_data"
120,"Wald (ZH)","Résultats non encore disponibles.","no_data"
121,"Wetzikon (ZH)","Résultats non encore disponibles.","no_data"
131,"Adliswil (ZH)","Résultats non encore disponibles.","no_data"
135,"Kilchberg (ZH)","Résultats non encore disponibles.","no_data"
136,"Langnau am Albis (ZH)","Résultats non encore disponibles.","no_data"
137,"Oberrieden (ZH)","Résultats non encore disponibles.","no_data"
138,"Richterswil (ZH)","Résultats non encore disponibles.","no_data"
139,"Rüschlikon (ZH)","Résultats non encore disponibles.","no_data"
141,"Thalwil (ZH)","Résultats non encore disponibles.","no_data"
151,"Erlenbach (ZH)","Résultats non encore disponibles.","no_data"
152,"Herrliberg (ZH)","Résultats non encore disponibles.","no_data"
153,"Hombrechtikon (ZH)","Résultats non encore disponibles.","no_data"
154,"Küsnacht (ZH)","Résultats non encore disponibles.","no_data"
155,"Männedorf (ZH)","Résultats non encore disponibles.","no_data"
156,"Meilen (ZH)","Résultats non encore disponibles.","no_data"
157,"Oetwil am See (ZH)","Résultats non encore disponibles.","no_data"
158,"Stäfa (ZH)","Résultats non encore disponibles.","no_data"
159,"Uetikon am See (ZH)","Résultats non encore disponibles.","no_data"
160,"Zumikon (ZH)","Résultats non encore disponibles.","no_data"
161,"Zollikon (ZH)","Résultats non encore disponibles.","no_data"
172,"Fehraltorf (ZH)","Résultats non encore disponibles.","no_data"
173,"Hittnau (ZH)","tab_h_fr$tr£$td£UDC$/td£tab_r160tab_r2#547d34tab_r3$td£$b£39.8%$/b£$/td£§+3.6$/td£$/tr£$tr£$td£PS$/td£tab_r117tab_r2#ea546ftab_r3$td£$b£11.1%$/b£$/td£§+1.2$/td£$/tr£$tr£$td£PVL$/td£tab_r116tab_r2#cbd401tab_r3$td£$b£10.5%$/b£$/td£§-0.7$/td£$/tr£$tr£$td£PLR$/td£tab_r113tab_r2#6268AFtab_r3$td£$b£8.6%$/b£$/td£§-3.3$/td£$/tr£$tr£$td£Centre$/td£tab_r112tab_r2#f39f5etab_r3$td£$b£7.9%$/b£$/td£§+2.0$/td£$/tr£$tr£$td£Vert-e-s$/td£tab_r110tab_r2#26b300tab_r3$td£$b£6.5%$/b£$/td£§-5.3$/td£$/tr£$tr£$td£Divers$/td£tab_r19tab_r2#bebebetab_r3$td£$b£6.2%$/b£$/td£§+4.8$/td£$/tr£$tr£$td£PEV$/td£tab_r18tab_r2#87bfdctab_r3$td£$b£5.4%$/b£$/td£§-1.0$/td£$/tr£$tr£$td£UDF$/td£tab_r15tab_r2#3aa59atab_r3$td£$b£3.4%$/b£$/td£§-1.1$/td£$/tr£$/table£$br£Bulletins de vote valables: $b£1'410$/b£$br£Taux de participation: $b£50.9%$/b£ (+1.8%)","SVP"
176,"Lindau (ZH)","Résultats non encore disponibles.","no_data"
177,"Pfäffikon (ZH)","Résultats non encore disponibles.","no_data"
178,"Russikon (ZH)","Résultats non encore disponibles.","no_data"
180,"Weisslingen (ZH)","Résultats non encore disponibles.","no_data"
181,"Wila (ZH)","Résultats non encore disponibles.","no_data"
182,"Wildberg (ZH)","Résultats non encore disponibles.","no_data"
191,"Dübendorf (ZH)","Résultats non encore disponibles.","no_data"
192,"Egg (ZH)","Résultats non encore disponibles.","no_data"
193,"Fällanden (ZH)","Résultats non encore disponibles.","no_data"
194,"Greifensee (ZH)","Résultats non encore disponibles.","no_data"
195,"Maur (ZH)","Résultats non encore disponibles.","no_data"
196,"Mönchaltorf (ZH)","Résultats non encore disponibles.","no_data"
197,"Schwerzenbach (ZH)","Résultats non encore disponibles.","no_data"
198,"Uster (ZH)","Résultats non encore disponibles.","no_data"
199,"Volketswil (ZH)","Résultats non encore disponibles.","no_data"
200,"Wangen-Brüttisellen (ZH)","Résultats non encore disponibles.","no_data"
211,"Altikon (ZH)","Résultats non encore disponibles.","no_data"
213,"Brütten (ZH)","Résultats non encore disponibles.","no_data"
