"ID","Gemeinde_de","Text_de","Staerkste_Partei"
11,"Ottenbach ZH","Keine Änderung an der Spitze in Ottenbach: Die <b>SVP</b> holt wie vor vier Jahren die meisten Stimmen (32,3 Prozent, -2,6 Prozentpunkte).<br><br>Mit einer markanten Verbesserung um +8,6 Prozentpunkte ist die <b>GLP</b> die zweitstärkste Kraft in der Gemeinde. Der Wählerstimmenanteil der Partei liegt neu bei 16,8 Prozent.<br><br>Die <b>SP</b> landet mit 13,7 Prozent auf dem dritten Platz (Veränderung gegenüber 2019: -5 Prozentpunkte).","SVP"
12,"Rifferswil ZH","Keine Änderung an der Spitze in Rifferswil: Die <b>SVP</b> holt wie vor vier Jahren die meisten Stimmen (26,8 Prozent, -3,7 Prozentpunkte).<br><br>Mit einer markanten Verbesserung um +10,8 Prozentpunkte sind die <b>Grünen</b> die zweitstärkste Kraft in der Gemeinde. Der Wählerstimmenanteil der Partei liegt neu bei 21,6 Prozent.<br><br>Die <b>SP</b> muss sich mit dem dritten Platz begnügen. Die Partei erreicht nur noch 14,8 Prozent der Stimmen und damit -6,3 Prozentpunkte weniger als vor vier Jahren.","SVP"
13,"Stallikon ZH","Unverändert ist die <b>SVP</b> die stärkste Partei in Stallikon mit 35,6 Prozent (-4,8 Prozentpunkte).<br><br>Zweitstärkste Partei ist die <b>GLP</b>. Die Partei verbessert sich gegenüber den Wahlen 2019 um +9,1 Prozentpunkte deutlich und weist neu einen Wähleranteil von 15,7 Prozent auf.<br><br>Mit einem Wähleranteil von 14,7 Prozent belegt die <b>FDP</b> den dritten Platz (Veränderung gegenüber 2019: -4,1 Prozentpunkte).","SVP"
14,"Wettswil am Albis ZH","In Wettswil am Albis bleibt die <b>SVP</b> die stimmenstärkste Partei. Die Partei holt 28,4 Prozent aller Stimmen (-3,7 Prozentpunkte).<br><br>Zweitstärkste Partei ist die <b>FDP</b> mit 22,1 Prozent (-2,7 Prozentpunkte gegenüber 2019).<br><br>Mit einem deutlichen Anstieg von +7,9 Prozentpunkten gegenüber den letzten Wahlen kann sich die <b>GLP</b> ihren Platz als drittgrösste Partei in der Gemeinde sichern. Der Wähleranteil liegt nun bei 17,1 Prozent.","SVP"
21,"Adlikon ZH","Die <b>SVP</b> ist in Adlikon unangefochtene Leaderin. Mit einer Stimmenmehrheit von über 50 Prozent erreicht die Partei die absolute Mehrheit in der Gemeinde.<br><br>Zweitstärkste Partei ist die <b>FDP</b> mit 9,4 Prozent (+2 Prozentpunkte gegenüber 2019).<br><br>Der dritte Platz geht an die <b>Grünen</b>. Die Partei erreicht 6,8 Prozent der Stimmen (Veränderung von +2,9 Prozentpunkten gegenüber 2019).","SVP"
22,"Benken ZH","In Benken ZH ist die <b>SVP</b> weiterhin mit deutlichem Abstand die grösste Partei. Sie holt 46,6 Prozent der Stimmen, 34,5 Prozentpunkte mehr als die nächstgrössere Partei.<br><br>Mit einem Wähleranteil von 10,5 Prozent belegt die <b>SP</b> den dritten Platz (Veränderung gegenüber 2019: -1,4 Prozentpunkte).","SVP"
23,"Berg am Irchel ZH","Berg am Irchel ist unbestrittenes Territorium der <b>SVP</b>. Die Partei holt die absolute Mehrheit der Stimmen.<br><br>Die <b>GLP</b> steigert sich mit einem Plus von +7,2 Prozentpunkte stark. Die Partei belegt nun den zweiten Platz in der Gemeinde. Der Wählerstimmenanteil beträgt neu 15,1 Prozent.<br><br>Die <b>Grünen</b> landen mit 8,1 Prozent auf dem dritten Platz (Veränderung gegenüber 2019: +3,9 Prozentpunkte).","SVP"
24,"Buch am Irchel ZH","Mit deutlichem Abstand bleibt die <b>SVP</b> die grösste Partei in Buch am Irchel. Ihre Parteistärke beträgt 48,6 Prozent (-2,8 Prozentpunkte). Der Vorsprung auf die nächstgrössere Partei, die <b>FDP</b>, ist gross: 35,5 Prozentpunkte. Die <b>FDP</b> holt 13,2 Prozent (+0,2 Prozentpunkte).<br><br>Mit einem Wähleranteil von 12,2 Prozent belegt die <b>GLP</b> den dritten Platz (Veränderung gegenüber 2019: +2,7 Prozentpunkte).<br><br>Speziell: In keiner anderen Gemeinde des Kantons schneidet die <b>SP</b> schwächer ab (ohne Kleinstgemeinden).","SVP"
25,"Dachsen ZH","In Dachsen behält die <b>SVP</b> ihren Status als stärkste politische Kraft. Die Partei sichert sich einen Wähleranteil von 30,3 Prozent (-1,7 Prozentpunkte).<br><br>Zweitstärkste Partei sind die <b>Grünen</b>. Die Partei verbessert sich gegenüber den Wahlen 2019 um +10,2 Prozentpunkte deutlich und weist neu einen Wähleranteil von 17,1 Prozent auf.<br><br>Die <b>SP</b> landet mit 15,1 Prozent auf dem dritten Platz (Veränderung gegenüber 2019: -4,7 Prozentpunkte).","SVP"
26,"Dorf ZH","Nach wie vor ist die <b>SVP</b> in Dorf unangefochten die grösste Partei, mit einem Wähleranteil von 48,9 Prozent (-0,3 Prozentpunkte). Der Vorsprung auf die zweitstärkste Partei, die <b>GLP</b>, ist beträchtlich - nämlich 37,7 Prozentpunkte. Die <b>GLP</b> erreicht einen Wähleranteil von 11,1 Prozent (+7,9 Prozentpunkte). <br><br>Der dritte Platz geht an die <b>SP</b>. Die Partei erreicht 9,8 Prozent der Stimmen (Veränderung von -0,7 Prozentpunkten gegenüber 2019).<br><br>Speziell: In keiner anderen Gemeinde des Kantons schneiden die <b>Grünen</b> schwächer ab (ohne Kleinstgemeinden).","SVP"
27,"Feuerthalen ZH","In Feuerthalen behält die <b>SVP</b> ihren Status als stärkste politische Kraft. Die Partei sichert sich einen Wähleranteil von 31,5 Prozent (-5,1 Prozentpunkte).<br><br>Die <b>SP</b> ist die zweitstärkste Kraft in der Gemeinde. Die Partei kommt auf 18,7 Prozent (-4,6 Prozentpunkte).<br><br>Die <b>GLP</b> verzeichnet einen deutlichen Zuwachs. Die Partei belegt nun den dritten Platz in der Gemeinde und erreicht neu einen Wähleranteil von 14,3 Prozent. Das sind +8,2 Prozentpunkte mehr als im Vergleich zu den letzten Wahlen.","SVP"
28,"Flaach ZH","In Flaach ist die <b>SVP</b> weiterhin mit deutlichem Abstand die grösste Partei. Sie holt 48,3 Prozent der Stimmen, 38,4 Prozentpunkte mehr als die nächstgrössere Partei.<br><br>Deutlich zulegen können die <b>Grünen</b>. Die Partei ist die drittstärkste Kraft in der Gemeinde und kommt neu auf einen Wähleranteil von 9,1 Prozent, was einer Zunahme von +5,9 Prozentpunkten gegenüber der letzten Wahl entspricht.","SVP"
29,"Flurlingen ZH","In Flurlingen behält die <b>SVP</b> ihren Status als stärkste politische Kraft. Die Partei sichert sich einen Wähleranteil von 25,1 Prozent (-2,9 Prozentpunkte).<br><br>Einen markanten Verlust muss die <b>SP</b> hinnehmen: Die Partei verliert -5,3 Prozentpunkte gegenüber den Wahlen 2019 und liegt jetzt noch bei 16,7 Prozent Wähleranteil. Das bedeutet dennoch Rang 2.<br><br>Mit einem Wähleranteil von 15,4 Prozent belegt die <b>FDP</b> den dritten Platz (Veränderung gegenüber 2019: -1,6 Prozentpunkte).","SVP"
30,"Andelfingen ZH","Keine Änderung an der Spitze in Andelfingen: Die <b>SVP</b> holt wie vor vier Jahren die meisten Stimmen (31,2 Prozent, -2,9 Prozentpunkte).<br><br>In der Gemeinde landet die <b>FDP</b> auf dem zweiten Platz. Die Partei erreicht einen Wählerstimmenanteil von 15,4 Prozent (-1 Prozentpunkte). <br><br>Mit einem Wähleranteil von 14,9 Prozent belegt die <b>GLP</b> den dritten Platz (Veränderung gegenüber 2019: +4,5 Prozentpunkte).","SVP"
31,"Henggart ZH","Mit grossem Abstand verteidigt die <b>SVP</b> ihre Position als grösste Partei in Henggart, mit einem Wähleranteil von 37,3 Prozent (-0,5 Prozentpunkte). Der Abstand zur zweitgrößten Partei, der <b>GLP</b>, beträgt 23,6 Prozentpunkte. Die <b>GLP</b> erhält 13,7 Prozent der Stimmen (+5,1 Prozentpunkte).<br><br>Die <b>FDP</b> landet mit 11,9 Prozent auf dem dritten Platz (Veränderung gegenüber 2019: -1,6 Prozentpunkte).","SVP"
32,"Humlikon ZH","Mit deutlichem Abstand bleibt die <b>SVP</b> die grösste Partei in Humlikon. Ihre Parteistärke beträgt 48,4 Prozent (-1,6 Prozentpunkte). Der Vorsprung auf die nächstgrössere Partei, die <b>FDP</b>, ist gross: 32,4 Prozentpunkte. Die <b>FDP</b> holt 15,9 Prozent (+0,9 Prozentpunkte).<br><br>Die <b>GLP</b> sichert sich den dritten Platz, mit einem Wähleranteil von zehn Prozent (Veränderung gegenüber 2019: +2,5 Prozentpunkte).","SVP"
33,"Kleinandelfingen ZH","In Kleinandelfingen bleibt die <b>SVP</b> unangefochten die stärkste Partei. Sie vereinigt bei den Nationalratswahlen 40,1 Prozent der Stimmen (-2,5 Prozentpunkte) auf sich, 27,2 Prozentpunkte mehr als die zweitplatzierte <b>FDP</b> (12,9 Prozent, +0,3 Prozentpunkte).<br><br>Den dritten Platz belegt die <b>GLP</b>. Die Partei erzielt einen Wähleranteil von 12,7 Prozent (Veränderung gegenüber 2019: +4,1 Prozentpunkte).","SVP"
34,"Laufen-Uhwiesen ZH","Mit grossem Abstand verteidigt die <b>SVP</b> ihre Position als grösste Partei in Laufen-Uhwiesen, mit einem Wähleranteil von 36,9 Prozent (-2,9 Prozentpunkte). Der Abstand zur zweitgrößten Partei, der <b>FDP</b>, beträgt 20,6 Prozentpunkte. Die <b>FDP</b> erhält 16,3 Prozent der Stimmen (-0,4 Prozentpunkte).<br><br>Deutlich zulegen kann die <b>GLP</b>. Die Partei ist die drittstärkste Kraft in der Gemeinde und kommt neu auf einen Wähleranteil von 12,4 Prozent, was einer Zunahme von +5,3 Prozentpunkten gegenüber der letzten Wahl entspricht.","SVP"
35,"Marthalen ZH","In Marthalen bleibt die <b>SVP</b> unangefochten die stärkste Partei. Sie vereinigt bei den Nationalratswahlen 49,6 Prozent der Stimmen (+1,9 Prozentpunkte) auf sich, 38,4 Prozentpunkte mehr als die zweitplatzierten <b>Grünen</b> (11,2 Prozent, +3,2 Prozentpunkte).<br><br>Den dritten Platz in Marthalen teilen sich zwei Parteien: Die <b>GLP</b> und die <b>SP</b> sind genau gleich stark. Mit je 9,9 Prozent kommen beide Parteien auf den gleichen Wähleranteil.","SVP"
37,"Ossingen ZH","In Ossingen bleibt die <b>SVP</b> unangefochten die stärkste Partei. Sie vereinigt bei den Nationalratswahlen 40,6 Prozent der Stimmen (-3,5 Prozentpunkte) auf sich, 28,4 Prozentpunkte mehr als die zweitplatzierte <b>FDP</b> (12,2 Prozent, -0,1 Prozentpunkte).<br><br>Der dritte Platz geht an die <b>GLP</b>. Die Partei erreicht 11,6 Prozent der Stimmen (Veränderung von +3,8 Prozentpunkten gegenüber 2019).","SVP"
38,"Rheinau ZH","Die Reihenfolge der Parteien in Rheinau bleibt im Vergleich zu den Wahlen 2019 gleich: Die <b>SVP</b> bleibt mit 33 Prozent die stärkste Kraft, gefolgt von der <b>SP</b> (21,1 Prozent, +0,5 Prozentpunkte) und den <b>Grünen</b> (12,8 Prozent, +3,3 Prozentpunkte).<br><br>","SVP"
39,"Thalheim an der Thur ZH","Thalheim an der Thur ist unbestrittenes Territorium der <b>SVP</b>. Die Partei holt die absolute Mehrheit der Stimmen.<br><br>Mit einem Wählerstimmenanteil von 10,7 Prozent (+1,2 Prozentpunkte) ist die <b>FDP</b> die zweitstärkste Kraft in der Gemeinde.<br><br>Die <b>Grünen</b> verzeichnen einen deutlichen Zuwachs. Die Partei belegt nun den dritten Platz in der Gemeinde und erreicht neu einen Wähleranteil von 9,3 Prozent. Das sind +5,7 Prozentpunkte mehr als im Vergleich zu den letzten Wahlen.","SVP"
40,"Trüllikon ZH","Nach wie vor ist die <b>SVP</b> in Trüllikon unangefochten die grösste Partei, mit einem Wähleranteil von 49,2 Prozent (-0,8 Prozentpunkte). Der Vorsprung auf die zweitstärkste Partei, die <b>Grünen</b>, ist beträchtlich - nämlich 38,7 Prozentpunkte. Die <b>Grünen</b> erreichen einen Wähleranteil von 10,5 Prozent (+5 Prozentpunkte). <br><br>Die <b>GLP</b> verzeichnet einen deutlichen Zuwachs. Die Partei belegt nun den dritten Platz in der Gemeinde und erreicht neu einen Wähleranteil von 10,1 Prozent. Das sind +5,5 Prozentpunkte mehr als im Vergleich zu den letzten Wahlen.","SVP"
41,"Truttikon ZH","Mit deutlichem Abstand bleibt die <b>SVP</b> die grösste Partei in Truttikon. Ihre Parteistärke beträgt 42,4 Prozent (+2,2 Prozentpunkte). Der Vorsprung auf die nächstgrössere Partei, die <b>SP</b>, ist gross: 29 Prozentpunkte. Die <b>SP</b> holt 13,4 Prozent (+0,9 Prozentpunkte).<br><br>Auf dem dritten Platz landen die <b>Grünen</b> mit zehn Prozent der Stimmen. Das bedeutet eine Veränderung von +3,9 Prozentpunkten gegenüber 2019. <br><br>Speziell: In keiner anderen Gemeinde des Kantons schneidet die <b>GLP</b> schwächer ab (ohne Kleinstgemeinden).","SVP"
43,"Volken ZH","Nach wie vor ist die <b>SVP</b> in Volken unangefochten die grösste Partei, mit einem Wähleranteil von 50 Prozent (-6,5 Prozentpunkte). Der Vorsprung auf die zweitstärkste Partei, die <b>FDP</b>, ist beträchtlich - nämlich 38,1 Prozentpunkte. Die <b>FDP</b> erreicht einen Wähleranteil von 11,9 Prozent (-2,2 Prozentpunkte). <br><br>Deutlich zulegen kann die <b>GLP</b>. Die Partei ist die drittstärkste Kraft in der Gemeinde und kommt neu auf einen Wähleranteil von 11,2 Prozent, was einer Zunahme von +6,3 Prozentpunkten gegenüber der letzten Wahl entspricht.<br><br>Speziell: In keiner anderen Gemeinde des Kantons schneidet die <b>Mitte</b> schwächer ab (ohne Kleinstgemeinden).","SVP"
51,"Bachenbülach ZH","Unverändert ist die <b>SVP</b> die stärkste Partei in Bachenbülach mit 31,4 Prozent (-4 Prozentpunkte).<br><br>In der Gemeinde landet die <b>FDP</b> auf dem zweiten Platz. Die Partei erreicht einen Wählerstimmenanteil von 20,6 Prozent (+4,7 Prozentpunkte). <br><br>Den dritten Platz belegt die <b>SP</b>. Die Partei erzielt einen Wähleranteil von 13,5 Prozent (Veränderung gegenüber 2019: -3,1 Prozentpunkte).","SVP"
52,"Bassersdorf ZH","Die Spitzenplätze in Bassersdorf bleiben gleich: Unverändert belegen die <b>SVP</b>, die <b>SP</b> und die <b>FDP</b> die ersten drei Plätze. Sie holen 32,9 Prozent (-4,2 Prozentpunkte), 17,3 Prozent (-0,5 Prozentpunkte) respektive 13,6 Prozent (-0,1 Prozentpunkte) der Stimmen.<br><br>","SVP"
53,"Bülach ZH","Die <b>SVP</b> behauptet ihre Position als vorherrschende Partei in Bülach. Die Partei verzeichnet einen Wähleranteil von 30,8 Prozent (-4,7 Prozentpunkte).<br><br>Mit einem Wählerstimmenanteil von 16,2 Prozent (-3,5 Prozentpunkte) ist die <b>SP</b> die zweitstärkste Kraft in der Gemeinde.<br><br>Deutlich zulegen können die <b>Grünen</b>. Die Partei ist die drittstärkste Kraft in der Gemeinde und kommt neu auf einen Wähleranteil von 12,9 Prozent, was einer Zunahme von +7,3 Prozentpunkten gegenüber der letzten Wahl entspricht.","SVP"
54,"Dietlikon ZH","Die <b>SVP</b> behauptet ihre Position als vorherrschende Partei in Dietlikon. Die Partei verzeichnet einen Wähleranteil von 28,6 Prozent (-3,4 Prozentpunkte).<br><br>Die <b>SP</b> ist die zweitstärkste Kraft in der Gemeinde. Die Partei kommt auf 17,9 Prozent (-2,9 Prozentpunkte).<br><br>Mit einem deutlichen Anstieg von +5,9 Prozentpunkten gegenüber den letzten Wahlen kann sich die <b>GLP</b> ihren Platz als drittgrösste Partei in der Gemeinde sichern. Der Wähleranteil liegt nun bei 16,2 Prozent.<br><br>In der Gemeinde Dietlikon wohnt auch eine Nationalrätin: <b>Cristina Cortellini (<b>GLP</b>)</b>.","SVP"
55,"Eglisau ZH","Die <b>SVP</b> behauptet ihre Position als vorherrschende Partei in Eglisau. Die Partei verzeichnet einen Wähleranteil von 30,5 Prozent (-1,4 Prozentpunkte).<br><br>Mit einer markanten Verbesserung um +6,9 Prozentpunkte ist die <b>GLP</b> die zweitstärkste Kraft in der Gemeinde. Der Wählerstimmenanteil der Partei liegt neu bei 16,9 Prozent.<br><br>Die <b>SP</b> sichert sich den dritten Platz, mit einem Wähleranteil von 16,4 Prozent (Veränderung gegenüber 2019: -3,3 Prozentpunkte).","SVP"
56,"Embrach ZH","In Embrach ist die <b>SVP</b> weiterhin mit deutlichem Abstand die grösste Partei. Sie holt 41,1 Prozent der Stimmen, 28,9 Prozentpunkte mehr als die nächstgrössere Partei.<br><br>Mit einem deutlichen Anstieg von +6 Prozentpunkten gegenüber den letzten Wahlen kann sich die <b>GLP</b> ihren Platz als drittgrösste Partei in der Gemeinde sichern. Der Wähleranteil liegt nun bei zwölf Prozent.","SVP"
57,"Freienstein-Teufen ZH","In Freienstein-Teufen bleibt die <b>SVP</b> unangefochten die stärkste Partei. Sie vereinigt bei den Nationalratswahlen 37,7 Prozent der Stimmen (+0,1 Prozentpunkte) auf sich, 24,9 Prozentpunkte mehr als die zweitplatzierte <b>GLP</b> (12,7 Prozent, +5,9 Prozentpunkte).<br><br>Die <b>SP</b> landet mit 11,5 Prozent auf dem dritten Platz (Veränderung gegenüber 2019: -4,4 Prozentpunkte).","SVP"
58,"Glattfelden ZH","Mit deutlichem Abstand bleibt die <b>SVP</b> die grösste Partei in Glattfelden. Ihre Parteistärke beträgt 41,9 Prozent (-3,3 Prozentpunkte). Der Vorsprung auf die nächstgrössere Partei, die <b>SP</b>, ist gross: 27,6 Prozentpunkte. Die <b>SP</b> holt 14,3 Prozent (-2,2 Prozentpunkte).<br><br>Auf dem dritten Platz landet die <b>GLP</b> mit 12,5 Prozent der Stimmen. Das bedeutet eine Veränderung von +2,8 Prozentpunkten gegenüber 2019. ","SVP"
59,"Hochfelden ZH","Mit deutlichem Abstand bleibt die <b>SVP</b> die grösste Partei in Hochfelden. Ihre Parteistärke beträgt 44,1 Prozent (-5 Prozentpunkte). Der Vorsprung auf die nächstgrössere Partei, die <b>SP</b>, ist gross: 31,9 Prozentpunkte. Die <b>SP</b> holt 12,3 Prozent (-5,1 Prozentpunkte).<br><br>Deutlich zulegen kann die <b>GLP</b>. Die Partei ist die drittstärkste Kraft in der Gemeinde und kommt neu auf einen Wähleranteil von 10,4 Prozent, was einer Zunahme von +6,4 Prozentpunkten gegenüber der letzten Wahl entspricht.","SVP"
60,"Höri ZH","Die <b>SVP</b> ist in Höri unangefochtene Leaderin. Mit einer Stimmenmehrheit von über 50 Prozent erreicht die Partei die absolute Mehrheit in der Gemeinde.<br><br>Die <b>SP</b> ist die zweitstärkste Kraft in der Gemeinde. Die Partei kommt auf 10,4 Prozent (+0 Prozentpunkte).<br><br>Auf dem dritten Platz landet die <b>GLP</b> mit 8,3 Prozent der Stimmen. Das bedeutet eine Veränderung von +2,3 Prozentpunkten gegenüber 2019. ","SVP"
61,"Hüntwangen ZH","Nach wie vor ist die <b>SVP</b> in Hüntwangen unangefochten die grösste Partei, mit einem Wähleranteil von 42,8 Prozent (-3,3 Prozentpunkte). Der Vorsprung auf die zweitstärkste Partei, die <b>GLP</b>, ist beträchtlich - nämlich 28,9 Prozentpunkte. Die <b>GLP</b> erreicht einen Wähleranteil von 13,9 Prozent (+7,5 Prozentpunkte). <br><br>Mit einem deutlichen Anstieg von +8,6 Prozentpunkten gegenüber den letzten Wahlen können sich die <b>Grünen</b> ihren Platz als drittgrösste Partei in der Gemeinde sichern. Der Wähleranteil liegt nun bei 11,9 Prozent.","SVP"
62,"Kloten ZH","Nach wie vor ist die <b>SVP</b> in Kloten unangefochten die grösste Partei, mit einem Wähleranteil von 38,9 Prozent (-4,6 Prozentpunkte). Der Vorsprung auf die zweitstärkste Partei, die <b>SP</b>, ist beträchtlich - nämlich 22,1 Prozentpunkte. Die <b>SP</b> erreicht einen Wähleranteil von 16,8 Prozent (-0,9 Prozentpunkte). <br><br>Den dritten Platz belegt die <b>FDP</b>. Die Partei erzielt einen Wähleranteil von 11,5 Prozent (Veränderung gegenüber 2019: +1 Prozentpunkte).<br><br>In der Gemeinde Kloten wohnt auch eine Nationalrätin: <b>Priska Seiler Graf (<b>SP</b>)</b>.","SVP"
63,"Lufingen ZH","Mit deutlichem Abstand bleibt die <b>SVP</b> die grösste Partei in Lufingen. Ihre Parteistärke beträgt 44,7 Prozent (+0,1 Prozentpunkte). Der Vorsprung auf die nächstgrössere Partei, die <b>GLP</b>, ist gross: 31,1 Prozentpunkte. Die <b>GLP</b> holt 13,7 Prozent (+6,3 Prozentpunkte).<br><br>Die <b>FDP</b> verliert -5,6 Prozentpunkte und damit so viele Stimmen, dass sie mit einem Wähleranteil von 11,2 Prozent nur noch auf dem dritten Platz landet.","SVP"
64,"Nürensdorf ZH","Nach wie vor ist die <b>SVP</b> in Nürensdorf unangefochten die grösste Partei, mit einem Wähleranteil von 44,7 Prozent (-1,5 Prozentpunkte). Der Vorsprung auf die zweitstärkste Partei, die <b>FDP</b>, ist beträchtlich - nämlich 28,2 Prozentpunkte. Die <b>FDP</b> erreicht einen Wähleranteil von 16,6 Prozent (-0,8 Prozentpunkte). <br><br>Mit einem deutlichen Anstieg von +5,3 Prozentpunkten gegenüber den letzten Wahlen kann sich die <b>GLP</b> ihren Platz als drittgrösste Partei in der Gemeinde sichern. Der Wähleranteil liegt nun bei 11,2 Prozent.","SVP"
65,"Oberembrach ZH","Kein Weg führt in Oberembrach an der <b>SVP</b> vorbei. Die Partei holt mehr als die Hälfte der Stimmen und damit eine absolute Mehrheit.<br><br>Mit einem Wählerstimmenanteil von 10,2 Prozent (+0,1 Prozentpunkte) ist die <b>SP</b> die zweitstärkste Kraft in der Gemeinde.<br><br>Den dritten Platz belegt die <b>FDP</b>. Die Partei erzielt einen Wähleranteil von neun Prozent (Veränderung gegenüber 2019: +0,8 Prozentpunkte).","SVP"
