"ID","Gemeinde_it","Tabelle_it","Staerkste_Partei"
11,"Ottenbach ZH","tab_h_it$tr£$td£UDC$/td£tab_r152tab_r2#547d34tab_r3$td£$b£34.9%$/b£$/td£§+2.6$/td£$/tr£$tr£$td£PVL$/td£tab_r124tab_r2#cbd401tab_r3$td£$b£15.8%$/b£$/td£§-1.0$/td£$/tr£$tr£$td£PS$/td£tab_r120tab_r2#ea546ftab_r3$td£$b£13.5%$/b£$/td£§-0.2$/td£$/tr£$tr£$td£PLR$/td£tab_r116tab_r2#6268AFtab_r3$td£$b£10.6%$/b£$/td£§-2.5$/td£$/tr£$tr£$td£Centro$/td£tab_r111tab_r2#f39f5etab_r3$td£$b£7.6%$/b£$/td£§+1.1$/td£$/tr£$tr£$td£Verdi$/td£tab_r111tab_r2#26b300tab_r3$td£$b£7.4%$/b£$/td£§-3.3$/td£$/tr£$tr£$td£altro$/td£tab_r16tab_r2#bebebetab_r3$td£$b£4.3%$/b£$/td£§+3.6$/td£$/tr£$tr£$td£PEV$/td£tab_r16tab_r2#87bfdctab_r3$td£$b£3.9%$/b£$/td£§+0.0$/td£$/tr£$/table£$br£Schede elettorali valide: $b£1'020$/b£$br£Tasso di partecipazione: $b£51.7%$/b£ (-0.7%)","SVP"
12,"Rifferswil ZH","tab_h_it$tr£$td£UDC$/td£tab_r143tab_r2#547d34tab_r3$td£$b£28.7%$/b£$/td£§+1.9$/td£$/tr£$tr£$td£PS$/td£tab_r126tab_r2#ea546ftab_r3$td£$b£17.2%$/b£$/td£§+2.4$/td£$/tr£$tr£$td£Verdi$/td£tab_r124tab_r2#26b300tab_r3$td£$b£16.2%$/b£$/td£§-5.4$/td£$/tr£$tr£$td£PVL$/td£tab_r117tab_r2#cbd401tab_r3$td£$b£11.5%$/b£$/td£§-1.2$/td£$/tr£$tr£$td£PLR$/td£tab_r113tab_r2#6268AFtab_r3$td£$b£8.5%$/b£$/td£§+1.7$/td£$/tr£$tr£$td£PEV$/td£tab_r18tab_r2#87bfdctab_r3$td£$b£5.5%$/b£$/td£§-1.6$/td£$/tr£$tr£$td£Centro$/td£tab_r17tab_r2#f39f5etab_r3$td£$b£4.5%$/b£$/td£§-0.3$/td£$/tr£$tr£$td£UDF$/td£tab_r15tab_r2#3aa59atab_r3$td£$b£3.6%$/b£$/td£§+0.4$/td£$/tr£$tr£$td£altro$/td£tab_r15tab_r2#bebebetab_r3$td£$b£3.6%$/b£$/td£§+2.7$/td£$/tr£$/table£$br£Schede elettorali valide: $b£504$/b£$br£Tasso di partecipazione: $b£63.8%$/b£ (+5.2%)","SVP"
13,"Stallikon ZH","tab_h_it$tr£$td£UDC$/td£tab_r148tab_r2#547d34tab_r3$td£$b£32.1%$/b£$/td£§-3.5$/td£$/tr£$tr£$td£PS$/td£tab_r123tab_r2#ea546ftab_r3$td£$b£15.7%$/b£$/td£§+1.4$/td£$/tr£$tr£$td£PLR$/td£tab_r122tab_r2#6268AFtab_r3$td£$b£14.8%$/b£$/td£§+0.1$/td£$/tr£$tr£$td£PVL$/td£tab_r122tab_r2#cbd401tab_r3$td£$b£14.5%$/b£$/td£§-1.3$/td£$/tr£$tr£$td£Centro$/td£tab_r115tab_r2#f39f5etab_r3$td£$b£10.3%$/b£$/td£§+4.7$/td£$/tr£$tr£$td£Verdi$/td£tab_r111tab_r2#26b300tab_r3$td£$b£7.0%$/b£$/td£§-3.6$/td£$/tr£$tr£$td£altro$/td£tab_r15tab_r2#bebebetab_r3$td£$b£3.4%$/b£$/td£§+2.4$/td£$/tr£$/table£$br£Schede elettorali valide: $b£1'249$/b£$br£Tasso di partecipazione: $b£52.0%$/b£ (+4.5%)","SVP"
14,"Wettswil am Albis ZH","tab_h_it$tr£$td£UDC$/td£tab_r144tab_r2#547d34tab_r3$td£$b£29.4%$/b£$/td£§+1.1$/td£$/tr£$tr£$td£PLR$/td£tab_r131tab_r2#6268AFtab_r3$td£$b£20.6%$/b£$/td£§-1.5$/td£$/tr£$tr£$td£PVL$/td£tab_r124tab_r2#cbd401tab_r3$td£$b£15.9%$/b£$/td£§-1.2$/td£$/tr£$tr£$td£PS$/td£tab_r121tab_r2#ea546ftab_r3$td£$b£13.7%$/b£$/td£§+1.4$/td£$/tr£$tr£$td£Centro$/td£tab_r114tab_r2#f39f5etab_r3$td£$b£9.2%$/b£$/td£§+2.9$/td£$/tr£$tr£$td£Verdi$/td£tab_r18tab_r2#26b300tab_r3$td£$b£5.6%$/b£$/td£§-3.7$/td£$/tr£$/table£$br£Schede elettorali valide: $b£1'854$/b£$br£Tasso di partecipazione: $b£54.0%$/b£ (+1.7%)","SVP"
22,"Benken ZH","tab_h_it$tr£$td£UDC$/td£tab_r174tab_r2#547d34tab_r3$td£$b£49.1%$/b£$/td£§+2.5$/td£$/tr£$tr£$td£PS$/td£tab_r118tab_r2#ea546ftab_r3$td£$b£12.2%$/b£$/td£§+1.8$/td£$/tr£$tr£$td£PLR$/td£tab_r114tab_r2#6268AFtab_r3$td£$b£9.3%$/b£$/td£§-0.5$/td£$/tr£$tr£$td£PVL$/td£tab_r113tab_r2#cbd401tab_r3$td£$b£8.6%$/b£$/td£§-0.7$/td£$/tr£$tr£$td£Verdi$/td£tab_r112tab_r2#26b300tab_r3$td£$b£7.7%$/b£$/td£§-4.4$/td£$/tr£$tr£$td£Centro$/td£tab_r110tab_r2#f39f5etab_r3$td£$b£6.8%$/b£$/td£§-0.2$/td£$/tr£$/table£$br£Schede elettorali valide: $b£302$/b£$br£Tasso di partecipazione: $b£51.3%$/b£ (+4.1%)","SVP"
23,"Berg am Irchel ZH","tab_h_it$tr£$td£UDC$/td£tab_r181tab_r2#547d34tab_r3$td£$b£54.2%$/b£$/td£§+1.4$/td£$/tr£$tr£$td£PLR$/td£tab_r115tab_r2#6268AFtab_r3$td£$b£10.2%$/b£$/td£§+2.9$/td£$/tr£$tr£$td£PVL$/td£tab_r114tab_r2#cbd401tab_r3$td£$b£9.6%$/b£$/td£§-5.5$/td£$/tr£$tr£$td£PS$/td£tab_r114tab_r2#ea546ftab_r3$td£$b£9.3%$/b£$/td£§+3.1$/td£$/tr£$tr£$td£Centro$/td£tab_r19tab_r2#f39f5etab_r3$td£$b£6.0%$/b£$/td£§+1.4$/td£$/tr£$tr£$td£Verdi$/td£tab_r16tab_r2#26b300tab_r3$td£$b£4.0%$/b£$/td£§-4.1$/td£$/tr£$tr£$td£altro$/td£tab_r15tab_r2#bebebetab_r3$td£$b£3.6%$/b£$/td£§+3.3$/td£$/tr£$/table£$br£Schede elettorali valide: $b£262$/b£$br£Tasso di partecipazione: $b£60.5%$/b£ (+3.9%)","SVP"
24,"Buch am Irchel ZH","tab_h_it$tr£$td£UDC$/td£tab_r167tab_r2#547d34tab_r3$td£$b£44.6%$/b£$/td£§-4.0$/td£$/tr£$tr£$td£PVL$/td£tab_r117tab_r2#cbd401tab_r3$td£$b£11.1%$/b£$/td£§-1.1$/td£$/tr£$tr£$td£PLR$/td£tab_r116tab_r2#6268AFtab_r3$td£$b£10.9%$/b£$/td£§-2.3$/td£$/tr£$tr£$td£Verdi$/td£tab_r111tab_r2#26b300tab_r3$td£$b£7.3%$/b£$/td£§+0.8$/td£$/tr£$tr£$td£Centro$/td£tab_r110tab_r2#f39f5etab_r3$td£$b£6.8%$/b£$/td£§+1.2$/td£$/tr£$tr£$td£PS$/td£tab_r110tab_r2#ea546ftab_r3$td£$b£6.7%$/b£$/td£§+1.8$/td£$/tr£$tr£$td£altro$/td£tab_r17tab_r2#bebebetab_r3$td£$b£4.7%$/b£$/td£§+4.3$/td£$/tr£$tr£$td£UDF$/td£tab_r17tab_r2#3aa59atab_r3$td£$b£4.6%$/b£$/td£§+1.1$/td£$/tr£$tr£$td£PEV$/td£tab_r15tab_r2#87bfdctab_r3$td£$b£3.1%$/b£$/td£§-1.1$/td£$/tr£$/table£$br£Schede elettorali valide: $b£407$/b£$br£Tasso di partecipazione: $b£56.0%$/b£ (+3.0%)","SVP"
25,"Dachsen ZH","tab_h_it$tr£$td£UDC$/td£tab_r143tab_r2#547d34tab_r3$td£$b£29.0%$/b£$/td£§-1.4$/td£$/tr£$tr£$td£PS$/td£tab_r124tab_r2#ea546ftab_r3$td£$b£16.0%$/b£$/td£§+1.0$/td£$/tr£$tr£$td£PVL$/td£tab_r121tab_r2#cbd401tab_r3$td£$b£13.9%$/b£$/td£§+1.1$/td£$/tr£$tr£$td£Centro$/td£tab_r119tab_r2#f39f5etab_r3$td£$b£12.5%$/b£$/td£§+5.4$/td£$/tr£$tr£$td£PLR$/td£tab_r118tab_r2#6268AFtab_r3$td£$b£11.8%$/b£$/td£§+1.3$/td£$/tr£$tr£$td£Verdi$/td£tab_r113tab_r2#26b300tab_r3$td£$b£8.7%$/b£$/td£§-8.4$/td£$/tr£$tr£$td£PEV$/td£tab_r15tab_r2#87bfdctab_r3$td£$b£3.4%$/b£$/td£§-0.5$/td£$/tr£$tr£$td£altro$/td£tab_r15tab_r2#bebebetab_r3$td£$b£3.4%$/b£$/td£§+2.6$/td£$/tr£$/table£$br£Schede elettorali valide: $b£668$/b£$br£Tasso di partecipazione: $b£49.0%$/b£ (+3.1%)","SVP"
26,"Dorf ZH","tab_h_it$tr£$td£UDC$/td£tab_r168tab_r2#547d34tab_r3$td£$b£45.6%$/b£$/td£§-3.2$/td£$/tr£$tr£$td£PLR$/td£tab_r116tab_r2#6268AFtab_r3$td£$b£10.7%$/b£$/td£§+1.0$/td£$/tr£$tr£$td£PS$/td£tab_r115tab_r2#ea546ftab_r3$td£$b£10.3%$/b£$/td£§+0.5$/td£$/tr£$tr£$td£PVL$/td£tab_r111tab_r2#cbd401tab_r3$td£$b£7.4%$/b£$/td£§-3.8$/td£$/tr£$tr£$td£UDF$/td£tab_r111tab_r2#3aa59atab_r3$td£$b£7.3%$/b£$/td£§-1.1$/td£$/tr£$tr£$td£Centro$/td£tab_r110tab_r2#f39f5etab_r3$td£$b£6.6%$/b£$/td£§+3.8$/td£$/tr£$tr£$td£altro$/td£tab_r16tab_r2#bebebetab_r3$td£$b£4.1%$/b£$/td£§+3.4$/td£$/tr£$tr£$td£Verdi$/td£tab_r16tab_r2#26b300tab_r3$td£$b£4.0%$/b£$/td£§+0.1$/td£$/tr£$tr£$td£PEV$/td£tab_r15tab_r2#87bfdctab_r3$td£$b£3.1%$/b£$/td£§-1.3$/td£$/tr£$/table£$br£Schede elettorali valide: $b£275$/b£$br£Tasso di partecipazione: $b£52.7%$/b£ (+4.6%)","SVP"
27,"Feuerthalen ZH","tab_h_it$tr£$td£UDC$/td£tab_r146tab_r2#547d34tab_r3$td£$b£30.6%$/b£$/td£§-0.9$/td£$/tr£$tr£$td£PS$/td£tab_r133tab_r2#ea546ftab_r3$td£$b£22.1%$/b£$/td£§+3.4$/td£$/tr£$tr£$td£PVL$/td£tab_r119tab_r2#cbd401tab_r3$td£$b£12.4%$/b£$/td£§-1.9$/td£$/tr£$tr£$td£Centro$/td£tab_r115tab_r2#f39f5etab_r3$td£$b£9.8%$/b£$/td£§+2.2$/td£$/tr£$tr£$td£PLR$/td£tab_r112tab_r2#6268AFtab_r3$td£$b£8.2%$/b£$/td£§-0.9$/td£$/tr£$tr£$td£Verdi$/td£tab_r112tab_r2#26b300tab_r3$td£$b£8.0%$/b£$/td£§-3.9$/td£$/tr£$tr£$td£altro$/td£tab_r16tab_r2#bebebetab_r3$td£$b£4.2%$/b£$/td£§+3.1$/td£$/tr£$/table£$br£Schede elettorali valide: $b£972$/b£$br£Tasso di partecipazione: $b£42.5%$/b£ (+2.9%)","SVP"
28,"Flaach ZH","tab_h_it$tr£$td£UDC$/td£tab_r174tab_r2#547d34tab_r3$td£$b£49.1%$/b£$/td£§+0.8$/td£$/tr£$tr£$td£PLR$/td£tab_r114tab_r2#6268AFtab_r3$td£$b£9.5%$/b£$/td£§-0.4$/td£$/tr£$tr£$td£PS$/td£tab_r114tab_r2#ea546ftab_r3$td£$b£9.1%$/b£$/td£§+0.2$/td£$/tr£$tr£$td£PVL$/td£tab_r113tab_r2#cbd401tab_r3$td£$b£8.6%$/b£$/td£§+0.1$/td£$/tr£$tr£$td£PEV$/td£tab_r111tab_r2#87bfdctab_r3$td£$b£7.1%$/b£$/td£§+0.7$/td£$/tr£$tr£$td£Centro$/td£tab_r18tab_r2#f39f5etab_r3$td£$b£5.2%$/b£$/td£§+2.8$/td£$/tr£$tr£$td£Verdi$/td£tab_r17tab_r2#26b300tab_r3$td£$b£4.4%$/b£$/td£§-4.7$/td£$/tr£$tr£$td£UDF$/td£tab_r16tab_r2#3aa59atab_r3$td£$b£3.9%$/b£$/td£§-1.3$/td£$/tr£$/table£$br£Schede elettorali valide: $b£546$/b£$br£Tasso di partecipazione: $b£56.4%$/b£ (+5.7%)","SVP"
29,"Flurlingen ZH","tab_h_it$tr£$td£PS$/td£tab_r137tab_r2#ea546ftab_r3$td£$b£24.6%$/b£$/td£§+7.9$/td£$/tr£$tr£$td£UDC$/td£tab_r135tab_r2#547d34tab_r3$td£$b£23.6%$/b£$/td£§-1.5$/td£$/tr£$tr£$td£PLR$/td£tab_r124tab_r2#6268AFtab_r3$td£$b£15.8%$/b£$/td£§+0.4$/td£$/tr£$tr£$td£PVL$/td£tab_r118tab_r2#cbd401tab_r3$td£$b£12.0%$/b£$/td£§-2.5$/td£$/tr£$tr£$td£Verdi$/td£tab_r116tab_r2#26b300tab_r3$td£$b£10.8%$/b£$/td£§-4.4$/td£$/tr£$tr£$td£Centro$/td£tab_r110tab_r2#f39f5etab_r3$td£$b£7.0%$/b£$/td£§-0.2$/td£$/tr£$/table£$br£Schede elettorali valide: $b£543$/b£$br£Tasso di partecipazione: $b£53.8%$/b£ (+3.0%)","SP"
31,"Henggart ZH","tab_h_it$tr£$td£UDC$/td£tab_r153tab_r2#547d34tab_r3$td£$b£35.3%$/b£$/td£§-2.0$/td£$/tr£$tr£$td£PS$/td£tab_r120tab_r2#ea546ftab_r3$td£$b£13.0%$/b£$/td£§+3.9$/td£$/tr£$tr£$td£PVL$/td£tab_r118tab_r2#cbd401tab_r3$td£$b£12.0%$/b£$/td£§-1.7$/td£$/tr£$tr£$td£Centro$/td£tab_r116tab_r2#f39f5etab_r3$td£$b£10.7%$/b£$/td£§+4.9$/td£$/tr£$tr£$td£PLR$/td£tab_r115tab_r2#6268AFtab_r3$td£$b£9.7%$/b£$/td£§-2.2$/td£$/tr£$tr£$td£PEV$/td£tab_r110tab_r2#87bfdctab_r3$td£$b£6.3%$/b£$/td£§-1.4$/td£$/tr£$tr£$td£Verdi$/td£tab_r19tab_r2#26b300tab_r3$td£$b£6.1%$/b£$/td£§-3.9$/td£$/tr£$tr£$td£UDF$/td£tab_r15tab_r2#3aa59atab_r3$td£$b£3.3%$/b£$/td£§-0.2$/td£$/tr£$tr£$td£altro$/td£tab_r15tab_r2#bebebetab_r3$td£$b£3.0%$/b£$/td£§+2.4$/td£$/tr£$/table£$br£Schede elettorali valide: $b£904$/b£$br£Tasso di partecipazione: $b£54.7%$/b£ (+3.2%)","SVP"
